"Tabela 9543 - Taxa de alfabetização das pessoas de 15 anos ou mais de idade por sexo, cor ou raça e grupos de idade"
"Variável - Taxa de alfabetização das pessoas de 15 anos ou mais de idade (%)"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Ano x Sexo x Cor ou raça"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"2022"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Total";;;;;;"Homens";;;;;;"Mulheres"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena"
"15";"Pará";"20 a 24 anos";"97,62";"98,01";"97,65";"98,80";"97,59";"91,31";"96,89";"97,47";"96,83";"98,57";"96,81";"92,30";"98,35";"98,54";"98,62";"98,94";"98,36";"90,27"
"15";"Pará";"25 a 34 anos";"96,81";"97,55";"96,50";"98,62";"96,74";"90,10";"95,76";"96,88";"95,49";"97,90";"95,55";"92,76";"97,83";"98,18";"97,74";"99,11";"97,85";"87,46"
"15";"Pará";"35 a 44 anos";"93,72";"95,54";"92,38";"96,84";"93,51";"85,33";"92,04";"94,31";"90,52";"95,82";"91,76";"89,10";"95,37";"96,65";"94,71";"97,63";"95,21";"81,56"
"15";"Pará";"45 a 54 anos";"88,61";"92,19";"85,67";"94,44";"88,21";"76,13";"86,39";"90,47";"83,36";"94,62";"85,93";"79,94";"90,84";"93,72";"88,62";"94,27";"90,47";"72,29"
"15";"Pará";"55 a 64 anos";"82,52";"88,41";"76,80";"92,01";"81,88";"66,43";"80,65";"87,19";"74,89";"91,20";"79,94";"70,76";"84,34";"89,53";"79,08";"92,69";"83,73";"62,11"
"15";"Pará";"65 anos ou mais";"71,49";"79,39";"62,34";"89,28";"70,55";"48,61";"70,55";"78,74";"61,72";"89,33";"69,80";"51,04";"72,34";"79,89";"63,02";"89,23";"71,24";"46,41"
"16";"Amapá";"Total";"93,53";"95,18";"92,22";"95,90";"93,34";"90,04";"93,20";"95,02";"91,44";"95,27";"93,07";"92,41";"93,85";"95,31";"93,15";"96,42";"93,61";"87,58"
"16";"Amapá";"15 a 19 anos";"98,19";"98,23";"97,93";"100,00";"98,24";"97,65";"97,78";"97,91";"97,38";"100,00";"97,80";"98,22";"98,62";"98,52";"98,59";"100,00";"98,70";"97,10"
"16";"Amapá";"20 a 24 anos";"98,35";"98,51";"98,42";"95,52";"98,30";"97,76";"97,92";"98,14";"97,97";"93,75";"97,84";"98,32";"98,77";"98,85";"98,97";"97,14";"98,75";"97,20"
"16";"Amapá";"25 a 34 anos";"98,03";"98,32";"98,00";"99,26";"97,97";"96,69";"97,51";"97,85";"97,40";"100,00";"97,42";"97,47";"98,53";"98,74";"98,73";"98,67";"98,47";"95,86"
