"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"2022"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"2";"Nordeste";"Branca";"25 a 34 anos";"2033283";"976523";"1056760";"1965431";"932344";"1033087";"67852";"44179";"23673"
"2";"Nordeste";"Branca";"35 a 44 anos";"2157953";"1003622";"1154331";"1998490";"906427";"1092063";"159463";"97195";"62268"
"2";"Nordeste";"Branca";"45 a 54 anos";"1762842";"804005";"958837";"1517740";"664638";"853102";"245102";"139367";"105735"
"2";"Nordeste";"Branca";"55 a 64 anos";"1447036";"648313";"798723";"1170961";"504712";"666249";"276075";"143601";"132474"
"2";"Nordeste";"Branca";"65 anos ou mais";"1754628";"718892";"1035736";"1219798";"483824";"735974";"534830";"235068";"299762"
"2";"Nordeste";"Preta";"Total";"6075398";"3072746";"3002652";"5051449";"2507166";"2544283";"1023949";"565580";"458369"
"2";"Nordeste";"Preta";"15 a 19 anos";"499436";"262918";"236518";"486047";"253047";"233000";"13389";"9871";"3518"
"2";"Nordeste";"Preta";"20 a 24 anos";"585809";"304713";"281096";"569436";"292832";"276604";"16373";"11881";"4492"
"2";"Nordeste";"Preta";"25 a 34 anos";"1158798";"593989";"564809";"1109752";"559075";"550677";"49046";"34914";"14132"
"2";"Nordeste";"Preta";"35 a 44 anos";"1266634";"650937";"615697";"1136938";"567030";"569908";"129696";"83907";"45789"
"2";"Nordeste";"Preta";"45 a 54 anos";"1017495";"522851";"494644";"812232";"399766";"412466";"205263";"123085";"82178"
"2";"Nordeste";"Preta";"55 a 64 anos";"779354";"384567";"394787";"539450";"255895";"283555";"239904";"128672";"111232"
"2";"Nordeste";"Preta";"65 anos ou mais";"767872";"352771";"415101";"397594";"179521";"218073";"370278";"173250";"197028"
"2";"Nordeste";"Amarela";"Total";"57830";"23654";"34176";"50871";"20260";"30611";"6959";"3394";"3565"
"2";"Nordeste";"Amarela";"15 a 19 anos";"5084";"2138";"2946";"4987";"2075";"2912";"97";"63";"34"
"2";"Nordeste";"Amarela";"20 a 24 anos";"6003";"2377";"3626";"5886";"2296";"3590";"117";"81";"36"
"2";"Nordeste";"Amarela";"25 a 34 anos";"12072";"4751";"7321";"11676";"4518";"7158";"396";"233";"163"
"2";"Nordeste";"Amarela";"35 a 44 anos";"11966";"4751";"7215";"11046";"4271";"6775";"920";"480";"440"
"2";"Nordeste";"Amarela";"45 a 54 anos";"8464";"3385";"5079";"7076";"2680";"4396";"1388";"705";"683"
"2";"Nordeste";"Amarela";"55 a 64 anos";"6646";"2849";"3797";"5077";"2101";"2976";"1569";"748";"821"
"2";"Nordeste";"Amarela";"65 anos ou mais";"7595";"3403";"4192";"5123";"2319";"2804";"2472";"1084";"1388"
"2";"Nordeste";"Parda";"Total";"25401041";"12085492";"13315549";"21685891";"10075494";"11610397";"3715150";"2009998";"1705152"
"2";"Nordeste";"Parda";"15 a 19 anos";"2618597";"1338108";"1280489";"2555205";"1292382";"1262823";"63392";"45726";"17666"
"2";"Nordeste";"Parda";"20 a 24 anos";"2619809";"1296501";"1323308";"2549822";"1247211";"1302611";"69987";"49290";"20697"
"2";"Nordeste";"Parda";"25 a 34 anos";"5024951";"2385444";"2639507";"4819628";"2246231";"2573397";"205323";"139213";"66110"
"2";"Nordeste";"Parda";"35 a 44 anos";"5152346";"2451495";"2700851";"4633455";"2133514";"2499941";"518891";"317981";"200910"
"2";"Nordeste";"Parda";"45 a 54 anos";"3975214";"1883497";"2091717";"3209899";"1445357";"1764542";"765315";"438140";"327175"
"2";"Nordeste";"Parda";"55 a 64 anos";"3036349";"1403532";"1632817";"2204023";"969570";"1234453";"832326";"433962";"398364"
"2";"Nordeste";"Parda";"65 anos ou mais";"2973775";"1326915";"1646860";"1713859";"741229";"972630";"1259916";"585686";"674230"
"2";"Nordeste";"Indígena";"Total";"239669";"116018";"123651";"194398";"93014";"101384";"45271";"23004";"22267"
"2";"Nordeste";"Indígena";"15 a 19 anos";"29702";"15106";"14596";"28234";"14242";"13992";"1468";"864";"604"
"2";"Nordeste";"Indígena";"20 a 24 anos";"28350";"14186";"14164";"26814";"13294";"13520";"1536";"892";"644"
"2";"Nordeste";"Indígena";"25 a 34 anos";"48205";"23449";"24756";"44405";"21223";"23182";"3800";"2226";"1574"
"2";"Nordeste";"Indígena";"35 a 44 anos";"45546";"22230";"23316";"38339";"18274";"20065";"7207";"3956";"3251"
"2";"Nordeste";"Indígena";"45 a 54 anos";"34563";"16743";"17820";"25796";"12019";"13777";"8767";"4724";"4043"
"2";"Nordeste";"Indígena";"55 a 64 anos";"26399";"12429";"13970";"17359";"7916";"9443";"9040";"4513";"4527"
"2";"Nordeste";"Indígena";"65 anos ou mais";"26904";"11875";"15029";"13451";"6046";"7405";"13453";"5829";"7624"
"3";"Sudeste";"Total";"Total";"69559389";"33069198";"36490191";"66834250";"31799411";"35034839";"2725139";"1269787";"1455352"
"3";"Sudeste";"Total";"15 a 19 anos";"5489267";"2797766";"2691501";"5434238";"2761989";"2672249";"55029";"35777";"19252"
"3";"Sudeste";"Total";"20 a 24 anos";"6162437";"3104063";"3058374";"6103703";"3066629";"3037074";"58734";"37434";"21300"
"3";"Sudeste";"Total";"25 a 34 anos";"12680590";"6241975";"6438615";"12548193";"6157516";"6390677";"132397";"84459";"47938"
"3";"Sudeste";"Total";"35 a 44 anos";"13657027";"6592801";"7064226";"13419699";"6449381";"6970318";"237328";"143420";"93908"
"3";"Sudeste";"Total";"45 a 54 anos";"11436594";"5436939";"5999655";"11029349";"5215724";"5813625";"407245";"221215";"186030"
"3";"Sudeste";"Total";"55 a 64 anos";"9771022";"4503694";"5267328";"9206567";"4233129";"4973438";"564455";"270565";"293890"
"3";"Sudeste";"Total";"65 anos ou mais";"10362452";"4391960";"5970492";"9092501";"3915043";"5177458";"1269951";"476917";"793034"
"3";"Sudeste";"Branca";"Total";"34797087";"16041812";"18755275";"33845534";"15621443";"18224091";"951553";"420369";"531184"
"3";"Sudeste";"Branca";"15 a 19 anos";"2501987";"1249102";"1252885";"2480329";"1235555";"1244774";"21658";"13547";"8111"
"3";"Sudeste";"Branca";"20 a 24 anos";"2788330";"1369413";"1418917";"2766093";"1355982";"1410111";"22237";"13431";"8806"
"3";"Sudeste";"Branca";"25 a 34 anos";"5908201";"2837574";"3070627";"5861628";"2809539";"3052089";"46573";"28035";"18538"
"3";"Sudeste";"Branca";"35 a 44 anos";"6590996";"3085055";"3505941";"6516692";"3041515";"3475177";"74304";"43540";"30764"
"3";"Sudeste";"Branca";"45 a 54 anos";"5666002";"2608788";"3057214";"5543653";"2543644";"3000009";"122349";"65144";"57205"
"3";"Sudeste";"Branca";"55 a 64 anos";"5210920";"2356062";"2854858";"5034666";"2272425";"2762241";"176254";"83637";"92617"
"3";"Sudeste";"Branca";"65 anos ou mais";"6130651";"2535818";"3594833";"5642473";"2362783";"3279690";"488178";"173035";"315143"
"3";"Sudeste";"Preta";"Total";"7778585";"3872627";"3905958";"7328655";"3652987";"3675668";"449930";"219640";"230290"
"3";"Sudeste";"Preta";"15 a 19 anos";"585501";"306967";"278534";"578724";"302299";"276425";"6777";"4668";"2109"
"3";"Sudeste";"Preta";"20 a 24 anos";"744376";"389642";"354734";"736140";"383973";"352167";"8236";"5669";"2567"
"3";"Sudeste";"Preta";"25 a 34 anos";"1551973";"807497";"744476";"1531949";"793832";"738117";"20024";"13665";"6359"
"3";"Sudeste";"Preta";"35 a 44 anos";"1614149";"826108";"788041";"1574477";"800703";"773774";"39672";"25405";"14267"
"3";"Sudeste";"Preta";"45 a 54 anos";"1303348";"653556";"649792";"1232360";"613119";"619241";"70988";"40437";"30551"
"3";"Sudeste";"Preta";"55 a 64 anos";"1019307";"481947";"537360";"919974";"432706";"487268";"99333";"49241";"50092"
"3";"Sudeste";"Preta";"65 anos ou mais";"959931";"406910";"553021";"755031";"326355";"428676";"204900";"80555";"124345"
"3";"Sudeste";"Amarela";"Total";"512135";"241162";"270973";"504247";"237696";"266551";"7888";"3466";"4422"
"3";"Sudeste";"Amarela";"15 a 19 anos";"24947";"12429";"12518";"24762";"12314";"12448";"185";"115";"70"
"3";"Sudeste";"Amarela";"20 a 24 anos";"29028";"14090";"14938";"28802";"13960";"14842";"226";"130";"96"
"3";"Sudeste";"Amarela";"25 a 34 anos";"67025";"32882";"34143";"66333";"32489";"33844";"692";"393";"299"
"3";"Sudeste";"Amarela";"35 a 44 anos";"88631";"43053";"45578";"87657";"42532";"45125";"974";"521";"453"
"3";"Sudeste";"Amarela";"45 a 54 anos";"79342";"38220";"41122";"78258";"37695";"40563";"1084";"525";"559"
"3";"Sudeste";"Amarela";"55 a 64 anos";"77042";"36050";"40992";"75863";"35508";"40355";"1179";"542";"637"
"3";"Sudeste";"Amarela";"65 anos ou mais";"146120";"64438";"81682";"142572";"63198";"79374";"3548";"1240";"2308"
"3";"Sudeste";"Parda";"Total";"26377884";"12869542";"13508342";"25069563";"12246460";"12823103";"1308321";"623082";"685239"
"3";"Sudeste";"Parda";"15 a 19 anos";"2369203";"1225428";"1143775";"2343046";"1208111";"1134935";"26157";"17317";"8840"
"3";"Sudeste";"Parda";"20 a 24 anos";"2591662";"1326436";"1265226";"2563858";"1308356";"1255502";"27804";"18080";"9724"
